,0
0,Hawaii
1,Indiana
2,Iowa
3,Kentucky
4,Maryland
5,Massachusetts
6,Minnesota
7,Missouri
8,Nebraska
9,New Hampshire
10,Ohio
11,Oklahoma
12,Tennessee
13,Vermont
14,Wisconsin
15,Wyoming
